Pokemon Matches - Match-by-Match History,,,,,,
Traccia ogni singolo match giocato nei tornei Pokemon,,,,,,
Match_ID,Tournament_ID,Action,Round,Winner_UserID,Loser_UserID,Timestamp
PKM99_2025-09-24_R1_4777408_5118219,PKM99_2025-09-24,1,4777408,5118219,09/24/2025 21:11:26,
PKM99_2025-09-24_R1_4823435_5190946,PKM99_2025-09-24,1,4823435,5190946,09/24/2025 21:20:34,
PKM99_2025-09-24_R1_5234880_5209399,PKM99_2025-09-24,1,5234880,5209399,09/24/2025 21:19:21,
PKM99_2025-09-24_R1_4733183_4821843,PKM99_2025-09-24,1,4733183,4821843,09/24/2025 20:59:48,
PKM99_2025-09-24_R1_5178816_5038243,PKM99_2025-09-24,1,5178816,5038243,09/24/2025 21:21:08,
PKM99_2025-09-24_R2_5178816_4777408,PKM99_2025-09-24,2,5178816,4777408,09/24/2025 22:24:45,
PKM99_2025-09-24_R2_2739959_5234880,PKM99_2025-09-24,2,2739959,5234880,09/24/2025 22:23:25,
PKM99_2025-09-24_R2_5209399_5038243,PKM99_2025-09-24,2,5209399,5038243,09/24/2025 22:25:22,
PKM99_2025-09-24_R2_5118219_5190946,PKM99_2025-09-24,2,5118219,5190946,09/24/2025 22:19:04,
PKM99_2025-09-24_R3_2739959_5178816,PKM99_2025-09-24,3,2739959,5178816,09/24/2025 23:01:48,
PKM99_2025-09-24_R3_4821843_4823435,PKM99_2025-09-24,3,4821843,4823435,09/24/2025 23:21:58,
PKM99_2025-09-24_R3_4733183_4777408,PKM99_2025-09-24,3,4733183,4777408,09/24/2025 23:02:21,
PKM99_2025-09-24_R3_5118219_5209399,PKM99_2025-09-24,3,5118219,5209399,09/24/2025 23:22:20,
PKM99_2025-09-24_R3_5234880_5038243,PKM99_2025-09-24,3,5234880,5038243,09/24/2025 23:26:47,
PKM99_2025-09-24_R4_4733183_2739959,PKM99_2025-09-24,4,4733183,2739959,09/25/2025 00:20:33,
PKM99_2025-09-24_R4_4821843_5178816,PKM99_2025-09-24,4,4821843,5178816,09/25/2025 00:22:23,
PKM99_2025-09-24_R4_5234880_5118219,PKM99_2025-09-24,4,5234880,5118219,09/24/2025 23:33:12,
PKM99_2025-09-24_R4_4823435_5209399,PKM99_2025-09-24,4,4823435,5209399,09/25/2025 00:22:33,
PKM99_2025-09-24_R4_4777408_5190946,PKM99_2025-09-24,4,4777408,5190946,09/24/2025 23:33:18,
